tweetID	tweetURL	user	tweet	tweet_translated	sentiment_Rater1	sentiment_Rater2	sentiment_Rater3	sentiment_Rater4	sentiment_Rater5	sentiment_Rater6	sentiment_textblob	sentiment_VADER	sentiment_roBERTa	sentiment_Rater1_NvsNonN	sentiment_Rater1_PvsNonP	sentiment_Rater2_NvsNonN	sentiment_Rater2_PvsNonP	sentiment_Rater3_NvsNonN	sentiment_Rater3_PvsNonP	sentiment_Rater4_NvsNonN	sentiment_Rater4_PvsNonP	sentiment_Rater5_NvsNonN	sentiment_Rater5_PvsNonP	sentiment_Rater6_NvsNonN	sentiment_Rater6_PvsNonP	sentiment_textblob_NvsNonN	sentiment_textblob_PvsNonP	sentiment_VADER_NvsNonN	sentiment_VADER_PvsNonP	sentiment_roBERTa_NvsNonN	sentiment_roBERTa_PvsNonP	majority_sentiment_human_raters	majority_sentiment_human_raters_NvsNonN	majority_sentiment_human_raters_PvsNonP
1.70E+18	https://x.com/SABCNews/status/1700101923439813048	SABCNews	The Passenger Rail Agency of South Africa has expressed its commitment to expedite the recovery plan for the central line, a crucial rail network that traverses Nyanga, Philippi, Khayelitsha, and Mitchell Plain in Cape Town. https://t.co/UhPJiBRIcY'	The Passenger Rail Agency of South Africa has expressed its commitment to expedite the recovery plan for the central line, a crucial rail network that traverses Nyanga, Philippi, Khayelitsha, and Mitchell Plain in Cape Town. https://t.co/UhPJiBRIcY'	neutral	neutral	neutral	positive	positive	positive	negative	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	negative	non-positive	non-negative	positive	non-negative	non-positive	positive	non-negative	positive
1.80E+18	https://x.com/RadebeXolisa/status/1796095585541337135	RadebeXolisa	@KumamaLast9341 @truewayfarer_ @SizweDhlomo I used to stay in Kennilworth and Claremont. Every Sunday I would go Kwa-Ntsimbi in Lang, or kwa Mzoli. Never been scared. I still have a gogo in Khayelitsha Site C.'	@KumamaLast9341 @truewayfarer_ @SizweDhlomo I used to stay in Kennilworth and Claremont. Every Sunday I would go Kwa-Ntsimbi in Lang, or kwa Mzoli. Never been scared. I still have a gogo in Khayelitsha Site C.'	neutral	neutral	neutral	positive	positive	positive	neutral	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	positive	non-negative	positive
1.63E+18	https://x.com/Qoboqobo4/status/1627738971278041100	Qoboqobo4	I love this performer at the Site C Taxi Rank Khayelitsha and I so love his song😀😀 "Uyaxoka uyagowa" loosely translated to mean "He is lying he is going through a lot" speaks about how people pretend they are happy while in fact they are going through a lot🥺'	I love this performer at the Site C Taxi Rank Khayelitsha and I so love his song😀😀 "Uyaxoka uyagowa" loosely translated to mean "He is lying he is going through a lot" speaks about how people pretend they are happy while in fact they are going through a lot🥺'	positive	positive	neutral	positive	positive	positive	positive	positive	positive	non-negative	positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
1.71E+18	https://x.com/PUGResearch/status/1707022747996479985	PUGResearch	📢Exciting News!!! We have a new publication! The illusion of the container-based sanitation solution: Lessons from Khayelitsha, South Africa by Mmeli Dube, Fiona Anciano and Anna Mdee. 16(3): 849-86. Read It Now ➡https://t.co/sKG94YTS8d #Sanitation #PUG'	📢Exciting News!!! We have a new publication! The illusion of the container-based sanitation solution: Lessons from Khayelitsha, South Africa by Mmeli Dube, Fiona Anciano and Anna Mdee. 16(3): 849-86. Read It Now ➡https://t.co/sKG94YTS8d #Sanitation #PUG'	positive	positive	positive	neutral	positive	positive	positive	positive	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
1.54E+18	https://x.com/MmQwashu/status/1540390013132804096	MmQwashu	Each day is ActionSA day join Green Wave out in Hout Bay as we turn Western Cape Green those close to Khayelitsha Site C Ward 87 Uzawuzwa umoya. @HermanMashaba @john_moodey @Action4SA @mark_boikanyo @AntoinetteLoff1 @drngwane @Yvette24074248 @MjekanaJK. Asikijiki. https://t.co/yANZYQNEbP'	Each day is ActionSA day join Green Wave out in Hout Bay as we turn Western Cape Green those close to Khayelitsha Site C Ward 87 Uzawuzwa umoya. @HermanMashaba @john_moodey @Action4SA @mark_boikanyo @AntoinetteLoff1 @drngwane @Yvette24074248 @MjekanaJK. Asikijiki. https://t.co/yANZYQNEbP'	neutral	neutral	neutral	positive	neutral	positive	negative	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	positive	negative	non-positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.55E+18	https://x.com/LupumloMkentane/status/1548217259675373574	LupumloMkentane	My love of my life from Mxit, was Sinazo from Khayelitsha site C at that time i was in East london. We used to call each other every day😭😭'	My love of my life from Mxit, was Sinazo from Khayelitsha site C at that time i was in East london. We used to call each other every day😭😭'	neutral	negative	neutral	neutral	neutral	positive	positive	positive	positive	non-negative	non-positive	negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	neutral	non-negative	non-positive
1.69E+18	https://x.com/khayelitshatrav/status/1688088078424895488	khayelitshatrav	Welcome to the single largest township in South Africa. Khayelitsha. #khayelitsha#tourism https://t.co/HFKTxWJ3oJ'	Welcome to the single largest township in South Africa. Khayelitsha. #khayelitsha#tourism https://t.co/HFKTxWJ3oJ'	neutral	neutral	neutral	neutral	positive	positive	positive	positive	positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	neutral	non-negative	non-positive
1.71E+18	https://x.com/KhayelitshaE/status/1711612978460557592	KhayelitshaE	Good morning South Africa. 💯🙌🏾 https://t.co/Cz6c1K2Ys1'	Good morning South Africa. 💯🙌🏾 https://t.co/Cz6c1K2Ys1'	neutral	positive	positive	neutral	positive	positive	positive	positive	positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
1.83E+18	https://x.com/dudulemonn/status/1834612047818129636	dudulemonn	@nata_ngwe @SIKAOFFICIAL1 But you are South African. irrespective of its status ,Khayelitsha is in South Africa..Own it,embrace it,it’s https://t.co/0g4B4KAzCv proud of your own.'	@nata_ngwe @SIKAOFFICIAL1 But you are South African. irrespective of its status ,Khayelitsha is in South Africa..Own it,embrace it,it’s https://t.co/0g4B4KAzCv proud of your own.'	neutral	positive	neutral	positive	positive	positive	positive	positive	positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
1.70E+18	https://x.com/buhle_sithela/status/1701085779944939834	buhle_sithela	Vuma Pop-up Cinema 🌥️🎪📽️🌥️🇿🇦 Khayelitsha, inspiring children with animation films followed by discussion and lunch served. Spring and Summer programme, including educational tour and colouring page activities. South Africa/ Social Impact. Cape Town. 🌄 https://t.co/zqOUNyMtCQ'	Vuma Pop-up Cinema 🌥️🎪📽️🌥️🇿🇦 Khayelitsha, inspiring children with animation films followed by discussion and lunch served. Spring and Summer programme, including educational tour and colouring page activities. South Africa/ Social Impact. Cape Town. 🌄 https://t.co/zqOUNyMtCQ'	neutral	positive	positive	positive	positive	positive	positive	positive	positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
1.68E+18	https://x.com/buhle_sithela/status/1682624431175114753	buhle_sithela	Vuma Pop-up Cinema 🎪🌥️🇿🇦🎞️📽️ Khayelitsha, winter season. We inspire children with short animation films. Feel good vibes, accessible entertainment. South Africa 🌄 https://t.co/nIQnL70NwH'	Vuma Pop-up Cinema 🎪🌥️🇿🇦🎞️📽️ Khayelitsha, winter season. We inspire children with short animation films. Feel good vibes, accessible entertainment. South Africa 🌄 https://t.co/nIQnL70NwH'	positive	positive	positive	positive	positive	positive	positive	positive	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
1.68E+18	https://x.com/buhle_sithela/status/1682609214164697089	buhle_sithela	Vuma Pop-up Cinema 🎪🌥️🎞️🇿🇦 @CTanimationfest Cape Town @itfs Community love , on tour Khayelitsha 🚐🌄 Accessible. Short animated films, followed by discussion and lunch served. 🙏 Afterschool programme, 19 July 2023. South Africa. https://t.co/sQoMG6oBky'	Vuma Pop-up Cinema 🎪🌥️🎞️🇿🇦 @CTanimationfest Cape Town @itfs Community love , on tour Khayelitsha 🚐🌄 Accessible. Short animated films, followed by discussion and lunch served. 🙏 Afterschool programme, 19 July 2023. South Africa. https://t.co/sQoMG6oBky'	neutral	positive	positive	neutral	positive	positive	positive	positive	positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
1.67E+18	https://x.com/buhle_sithela/status/1669237436956721152	buhle_sithela	Vuma Pop-up Cinema 🌥️🙏🏔️🇿🇦🍽️ Winter season, keep warm. Cooked meals will continue to be served. Child development, Khayelitsha. South Africa. 🎭🚐 Beef , Pap and veggies. https://t.co/Bm4ykWlJYs'	Vuma Pop-up Cinema 🌥️🙏🏔️🇿🇦🍽️ Winter season, keep warm. Cooked meals will continue to be served. Child development, Khayelitsha. South Africa. 🎭🚐 Beef , Pap and veggies. https://t.co/Bm4ykWlJYs'	neutral	neutral	positive	positive	positive	positive	positive	positive	positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
1.66E+18	https://x.com/buhle_sithela/status/1660345817650155528	buhle_sithela	We are happy to use Vuma Pop-up Cinema for social Impact. Khayelitsha, South Africa. Community love. Storytelling. 🚐🎭🎪🎞️🙏🌄🍽️🌥️'	We are happy to use Vuma Pop-up Cinema for social Impact. Khayelitsha, South Africa. Community love. Storytelling. 🚐🎭🎪🎞️🙏🌄🍽️🌥️'	positive	neutral	positive	positive	positive	positive	positive	positive	positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
1.63E+18	https://x.com/buhle_sithela/status/1632814974639788033	buhle_sithela	Vuma Pop-up Cinema 🎭🖍️🇿🇦 Weekend vibes , @ColoringW colouring page activity for children's group in Khayelitsha. South Africa, creative art. Top 4. Child development. 🌈🙏🌄 https://t.co/XgeTpOXImI'	Vuma Pop-up Cinema 🎭🖍️🇿🇦 Weekend vibes , @ColoringW colouring page activity for children's group in Khayelitsha. South Africa, creative art. Top 4. Child development. 🌈🙏🌄 https://t.co/XgeTpOXImI'	neutral	neutral	positive	positive	positive	positive	positive	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	non-positive	positive	non-negative	positive
1.63E+18	https://x.com/BoxingSA_boxing/status/1629408603374223360	BoxingSA_boxing	If you know you've got what's it takes to be a professional boxer kindly pull up in : Grassroots Youth Academy 32567 Hlala Street, Makaza Khayelitsha. #Sparring2023 🥊 #2023 #Renew #Grow #Transform #boxingsouthafrica #sportssouthafrica #2023ready https://t.co/WgNtt6cYMI'	If you know you've got what's it takes to be a professional boxer kindly pull up in : Grassroots Youth Academy 32567 Hlala Street, Makaza Khayelitsha. #Sparring2023 🥊 #2023 #Renew #Grow #Transform #boxingsouthafrica #sportssouthafrica #2023ready https://t.co/WgNtt6cYMI'	neutral	neutral	neutral	neutral	neutral	positive	positive	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.71E+18	https://x.com/ApplyNOW_ZW/status/1713479240270635323	ApplyNOW_ZW	Apply for Cabin Crew job opportunities with Emirates https://t.co/S19TnZp0yC As a South African | South Africa | Will Smith | #uMjoloWithAzola | Khayelitsha'	Apply for Cabin Crew job opportunities with Emirates https://t.co/S19TnZp0yC As a South African | South Africa | Will Smith | #uMjoloWithAzola | Khayelitsha'	neutral	neutral	neutral	neutral	positive	positive	neutral	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	neutral	non-negative	non-positive
1.76E+18	https://x.com/African_TimesSA/status/1762738672774861006	African_TimesSA	The Passenger Rail Service of South Africa (PRASA) says the work to recover the central line between Langa and Khayelitsha in Cape Town is gaining momentum. https://t.co/yKAizeCjPY'	The Passenger Rail Service of South Africa (PRASA) says the work to recover the central line between Langa and Khayelitsha in Cape Town is gaining momentum. https://t.co/yKAizeCjPY'	neutral	neutral	positive	positive	positive	positive	neutral	positive	neutral	non-negative	non-positive	non-negative	non-positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	non-positive	non-negative	positive	non-negative	non-positive	positive	non-negative	positive
1.70E+18	https://x.com/A_RashiedOmar/status/1698231482458792124	A_RashiedOmar	Cape Town is one of the most divided cities in South Africa. The annual road race through Khayelitsha offers a rare opportunity to bridge this divide. Grateful to have participated with my family. Commendations to the Khayelitsha Athletic Club for organizing this event 🙌🏾 https://t.co/v0YykHNBVt'	Cape Town is one of the most divided cities in South Africa. The annual road race through Khayelitsha offers a rare opportunity to bridge this divide. Grateful to have participated with my family. Commendations to the Khayelitsha Athletic Club for organizing this event 🙌🏾 https://t.co/v0YykHNBVt'	positive	positive	positive	positive	positive	positive	positive	positive	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
1.63E+18	https://x.com/_MCCFoundation/status/1626220929058738179	_MCCFoundation	It's been an amazing week in South Africa to launch our project with @CATCH_Trust - thanks to everyone who made it a success including our amazing ambassadors @Heatherknight55 @dunkleysophia @maiabouchier who were so incredible with the girls from Khayelitsha #CricketTwitter https://t.co/FAbz9fIR5u'	It's been an amazing week in South Africa to launch our project with @CATCH_Trust - thanks to everyone who made it a success including our amazing ambassadors @Heatherknight55 @dunkleysophia @maiabouchier who were so incredible with the girls from Khayelitsha #CricketTwitter https://t.co/FAbz9fIR5u'	positive	positive	positive	positive	positive	positive	positive	positive	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	non-negative	positive	positive	non-negative	positive
